id,Make,Model,Aircraft.damage,Aircraft.Category,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Injury.Severity,Event.Date,Amateur.Built,Engine.Type,Weather.Condition,Number.of.Engines,Purpose.of.flight,Broad.phase.of.flight,total_passengers,likelihood_serious_fatal,Destroyed?
469,Convair,CV-240,Destroyed,Airplane,0.0,0.0,2.0,0.0,Non-Fatal,1991-11-28,No,Reciprocating,VMC,2.0,Ferry,Climb,2.0,0.0,1
1128,Hiller-osborn,UH-12D,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1991-12-02,No,Reciprocating,VMC,1.0,Instructional,Landing,1.0,0.0,0
1078,North American-kenney,"T-28D-5, NA-260",Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1991-12-07,No,Reciprocating,VMC,1.0,Personal,Takeoff,2.0,0.0,0
986,Artic Aircraft Corp.,S-1B2,Substantial,Airplane,0.0,0.0,1.0,1.0,Non-Fatal,1991-12-21,No,Reciprocating,VMC,1.0,Aerial Observation,Maneuvering,2.0,0.0,0
775,Gates Learjet,LEAR 25B,Substantial,Airplane,0.0,0.0,0.0,3.0,Non-Fatal,1991-12-23,No,Turbo Jet,VMC,2.0,Unknown,Landing,3.0,0.0,0
1143,Cameron,V-77,Substantial,Airplane,0.0,0.0,3.0,0.0,Non-Fatal,1991-12-28,No,Unknown,VMC,0.0,Personal,Landing,3.0,0.0,0
663,Aero Mercantil S.a.,GAVILAN 358 EL-1,Substantial,Airplane,0.0,0.0,1.0,0.0,Non-Fatal,1992-02-01,No,Reciprocating,VMC,1.0,Ferry,Descent,1.0,0.0,0
262,American Aviation Corp. (aac),AA-1,Substantial,Airplane,0.0,1.0,1.0,0.0,Non-Fatal,1992-02-09,No,Reciprocating,VMC,1.0,Personal,Approach,2.0,0.5,0
433,Avions Mudry,CAP-10B,Destroyed,Airplane,0.0,0.0,1.0,0.0,Non-Fatal,1992-02-15,No,Reciprocating,VMC,1.0,Personal,Maneuvering,1.0,0.0,1
1082,Avions Fairey,T-66,Substantial,Airplane,0.0,0.0,1.0,0.0,Non-Fatal,1992-02-29,No,Reciprocating,VMC,1.0,Personal,Cruise,1.0,0.0,0
656,Burkhart Grob,G103,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1992-03-01,No,Unknown,VMC,0.0,Personal,Descent,1.0,0.0,0
1,Cameron,084,Destroyed,Airplane,0.0,0.0,0.0,3.0,Non-Fatal,1992-03-07,No,Unknown,VMC,0.0,Personal,Approach,3.0,0.0,1
1095,Socata,TB-10,Substantial,Airplane,0.0,0.0,2.0,0.0,Non-Fatal,1992-03-07,No,Reciprocating,IMC,1.0,Personal,Approach,2.0,0.0,0
375,British Aerospace,BAE-3101,Destroyed,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1992-03-12,No,Turbo Prop,VMC,2.0,Instructional,Landing,2.0,1.0,1
926,Christen Industries,PITTS S2B,Destroyed,Airplane,0.0,0.0,2.0,0.0,Non-Fatal,1992-03-13,No,Reciprocating,VMC,1.0,Personal,Cruise,2.0,0.0,1
755,Let,L-13,Destroyed,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1992-03-14,No,Unknown,VMC,0.0,Personal,Landing,1.0,0.0,1
96,Extra Flugzeugbau,300,Substantial,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1992-03-15,No,Reciprocating,VMC,1.0,Personal,Maneuvering,2.0,1.0,0
88,Fokker,28-4000,Destroyed,Airplane,27.0,9.0,12.0,3.0,Fatal(27),1992-03-22,No,Turbo Fan,IMC,2.0,Unknown,Takeoff,51.0,0.7058823529411765,1
1005,Snow,S2C,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1992-04-03,No,Reciprocating,VMC,1.0,Instructional,Maneuvering,1.0,0.0,0
511,Schempp-hirth,DISCUS BT,Destroyed,Airplane,0.0,1.0,0.0,0.0,Non-Fatal,1992-04-05,No,Reciprocating,VMC,1.0,Personal,Landing,1.0,1.0,1
945,Pzl-okecie,PZL-104 WILGA 80,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1992-04-08,No,Reciprocating,VMC,1.0,Personal,Landing,2.0,0.0,0
